sampleID	disease	CDNA	dsp_fr	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_288196_227204	20160513_C19	Uninflamed	0.184	Fresh	1361	49	1526500	3.598362267	10.59753081	20.57525105	pass	pass	warn	warn	1506577	90.4	65964	238938	0.672989	86.85283983	1322232	2725	65834	25723	105868	24.16213539	367840	994685	0.001808736	0.017073804	0.070270554	97.65330136	p13	single cell	FALSE
WTCHG_288196_227205	20160513_C44	Uninflamed	0.304	Fresh	2755	46	1577234	2.964620342	7.275110081	13.75211576	pass	pass	pass	pass	1572129	94.7	150873	161835	0.257688	52.63037942	889065	25200	23309	178382	573306	32.46382148	548399	449194	0.016029219	0.113465244	0.364668548	86.63978485	p13	single cell	TRUE
WTCHG_288196_227206	20160513_C62	Inflamed	0.437	Fresh	3830	46	1673143	2.969740184	8.27289746	11.77973616	pass	pass	pass	pass	1669180	95.39	186377	151077	0.187636	55.44678057	1003335	42285	20001	219917	524008	41.11705367	744032	357631	0.025332798	0.131751519	0.313931391	75.96129774	p13	single cell	TRUE
WTCHG_288196_227207	20160513_C81	Inflamed	0.181	Fresh	485	48	1514310	2.493412841	8.148433144	25.26316069	pass	pass	fail	fail	1507254	91.11	268584	231254	0.719712	60.97878682	1173141	481	47323	634906	68000	18.01236166	346531	1441896	0.000319123	0.421233581	0.045115156	100	p13	single cell	FALSE
WTCHG_288196_228204	20160513_C20	Uninflamed	0.356	Fresh	3006	44	1344271	3.200619518	7.519005787	11.59888663	pass	pass	pass	pass	1338275	95.75	125565	112327	0.18593	52.52261559	743809	21763	15773	122656	512168	37.77670603	534982	273958	0.016261979	0.091652314	0.38270759	82.44683491	p13	single cell	TRUE
WTCHG_288196_228205	20160513_C47	Uninflamed	0.175	Fresh	1787	43	1677570	2.79076283	6.691415618	21.06888431	pass	pass	warn	warn	1665793	91	103887	265939	0.647576	89.88760672	1527061	6029	51599	54809	59358	28.23246938	479629	1085846	0.003619297	0.032902648	0.035633479	99.5220735	p13	single cell	FALSE
WTCHG_288196_228206	20160513_C65	Uninflamed	0.208	Fresh	2698	46	1619834	2.967958445	8.480689874	19.38746358	pass	pass	warn	pass	1613651	92.82	150603	208325	0.479412	72.17765494	1261337	12850	39137	202604	231617	31.33252649	547550	823874	0.007963308	0.12555627	0.143535994	93.61523379	p13	single cell	TRUE
WTCHG_288196_228207	20160513_C85	Inflamed	0.301	Fresh	3481	46	1706965	2.795077814	7.729523349	16.83948396	pass	pass	pass	pass	1700640	94.21	172196	183165	0.281803	58.04329283	1076486	28260	30965	231974	486941	35.65743174	661312	535829	0.016617273	0.136403942	0.286328088	84.74686674	p13	single cell	TRUE
WTCHG_288196_256227	20160513_Bulk1	Uninflamed	0.19	Fresh	11959	55	2177806	2.812188046	9.003734854	24.29137128	pass	pass	warn	warn	2169754	91.64	239138	332585	0.173805	37.2166792	929462	59909	75082	481295	951686	28.20238693	704336	527400	0.027610964	0.221820077	0.4386147	69.63214004	p13	bulk control	FALSE
WTCHG_288196_229229	20160517_C38	Uninflamed	0.15	DSP	596	45	1845625	3.780020318	13.07410501	14.38877141	pass	pass	warn	warn	1825340	93.31	94317	203453	0.762379	95.16426467	1753531	153	52863	26342	9747	21.46951433	395605	1373686	8.38E-05	0.014431284	0.005339827	99.30842427	p13	single cell	FALSE
WTCHG_288196_229230	20160517_C88	Uninflamed	0.23	DSP	2209	44	2004697	2.35471994	8.5767735	22.66607615	pass	pass	fail	fail	1998255	89.53	314097	420263	0.474069	49.45203998	1243972	71685	74918	805885	319052	21.84763976	549580	1219767	0.0358738	0.403294374	0.159665308	98.77690979	p13	single cell	FALSE
WTCHG_288196_230228	20160517_Bulk1	Uninflamed	0.03	DSP	8316	68	2113055	3.63861802	10.78428658	15.77386695	pass	pass	warn	warn	2093900	92.91	163657	268511	0.409626	58.17419398	1295192	18284	56327	200937	655663	23.05485575	513294	891764	0.008732031	0.095963035	0.313130044	80.51641037	p13	bulk control	FALSE
WTCHG_288196_230229	20160517_C43	Uninflamed	0.14	DSP	1001	47	1731200	3.573012939	10.11194555	16.28896364	pass	pass	warn	warn	1716825	92.97	98899	204514	0.726668	90.40996252	1591030	1119	46891	64109	56646	22.11382576	389158	1245398	0.000651785	0.037341604	0.032994627	99.57225635	p13	single cell	FALSE
WTCHG_288196_230230	20160517_C89	Uninflamed	0.18	DSP	2508	48	1915974	2.99476924	10.07562526	22.31108529	pass	pass	warn	warn	1903928	89.11	142664	340029	0.548435	63.32092372	1282956	12335	105105	176598	449123	20.1720335	408709	1055228	0.006478711	0.092754558	0.235892849	97.67726408	p13	single cell	FALSE
WTCHG_288196_231228	20160517_Bulk2	Inflamed	0.03	DSP	7413	65	2349035	4.360556569	9.604941712	12.72423029	pass	pass	warn	warn	2310348	92.65	220210	289062	0.18386	14.67720666	376409	4327	85459	367782	1730605	8.253469766	211667	533312	0.001872878	0.159189005	0.749066807	76.31246696	p13	bulk control	FALSE
WTCHG_288196_231229	20160517_C46	Uninflamed	0.15	DSP	881	48	1647235	3.553591321	9.716664067	16.10323356	pass	pass	warn	warn	1633616	93.18	86012	189366	0.681916	88.89715074	1477700	732	42964	42626	98236	24.14113814	401288	1114542	0.000448086	0.026093035	0.060134083	99.47208252	p13	single cell	FALSE
WTCHG_288196_232229	20160517_C52	Uninflamed	0.16	DSP	600	48	1810495	3.608405436	12.72344765	16.05932412	pass	pass	warn	warn	1785648	92.25	91562	218687	0.739969	92.07017081	1676584	143	69602	51733	22923	22.33159526	406655	1298798	8.01E-05	0.028971555	0.012837357	99.84678768	p13	single cell	FALSE
WTCHG_288196_249228	20160517_C08	Uninflamed	0.19	DSP	2220	48	1621020	3.07263328	11.24601297	23.52957615	pass	pass	warn	warn	1610318	89.38	123453	289774	0.532133	63.5279444	1119532	10083	78681	216322	337649	21.84016383	384882	892566	0.006261496	0.134334957	0.209678461	93.8986509	p13	single cell	FALSE
WTCHG_288196_249229	20160517_C53	Uninflamed	0.15	DSP	587	55	1942100	3.590958241	10.80895593	15.34235696	pass	pass	warn	warn	1926425	93.85	96809	206312	0.762091	94.5405166	1850520	316	41841	46773	17933	21.00983814	411243	1464840	0.000164034	0.024279689	0.009308953	99.74012588	p13	single cell	FALSE
WTCHG_288196_250228	20160517_C11	empty	0.15	DSP	476	47	1877920	3.264729062	8.028122703	16.98255613	pass	pass	warn	warn	1866845	92.5	90030	249109	0.762006	94.98563631	1792757	1170	45749	32094	15628	20.88414844	394167	1415197	0.000626726	0.017191572	0.008371343	100	p13	empty site control	FALSE
WTCHG_288196_250229	20160517_C56	Uninflamed	0.22	DSP	2780	48	1966776	3.400590611	12.64474016	19.41660954	pass	pass	warn	warn	1950289	92.69	196258	249777	0.476796	60.25277387	1322790	25482	60028	345426	441675	24.12329228	529603	1004010	0.013065756	0.177115289	0.226466437	93.10609232	p13	single cell	FALSE
WTCHG_288196_251228	20160517_C12	empty	0.14	DSP	473	46	2162832	3.201127041	8.238651271	17.5772443	pass	pass	warn	warn	2151162	92.34	101358	300922	0.754995	95.54289507	2075635	1247	48226	33990	13366	21.79497566	473488	1623437	0.000579687	0.015800763	0.006213386	100	p13	empty site control	FALSE
WTCHG_288196_251229	20160517_C59	Uninflamed	0.19	DSP	2136	54	2196127	3.438644486	13.57629458	19.62222738	pass	pass	warn	warn	2177765	92.16	179801	291466	0.626745	73.8343787	1757050	13960	74123	285394	249191	22.38987981	532816	1418586	0.006410242	0.131049034	0.11442511	98.09051949	p13	single cell	FALSE
WTCHG_288196_252228	20160517_C14	Uninflamed	0.21	DSP	2365	48	2143624	3.009762906	9.169150963	19.0115597	pass	pass	warn	warn	2131803	90.5	168727	356524	0.464443	53.27618873	1203792	3568	87163	199530	765478	16.85185997	380773	1033428	0.001673701	0.093596829	0.359075393	93.93271725	p13	single cell	FALSE
WTCHG_288196_252229	20160517_C62	Uninflamed	0.16	DSP	736	47	2069274	3.916446058	12.23179579	14.68717364	pass	pass	warn	warn	2047174	93.72	111167	219972	0.772307	93.64795321	1955668	626	49321	61772	20932	19.8545816	414627	1576447	0.000305787	0.030174279	0.010224827	99.35510417	p13	single cell	FALSE
WTCHG_288196_253228	20160517_C19	Uninflamed	0.19	DSP	935	53	1945910	3.699194721	11.14362258	16.03302812	pass	pass	warn	warn	1929386	92.4	85291	250878	0.7605	94.38937099	1838233	259	59131	28276	21601	21.04087291	409771	1449726	0.00013424	0.01465544	0.01119579	94.71052019	p13	single cell	FALSE
WTCHG_288196_253229	20160517_C64	Uninflamed	0.17	DSP	1626	45	1598425	3.618186652	11.55889763	17.49757233	pass	pass	warn	pass	1582791	92.72	106443	196583	0.554361	72.10841733	1196968	6685	49370	111060	295873	24.37160985	404558	889905	0.004223552	0.070167192	0.186931187	97.43578227	p13	single cell	FALSE
WTCHG_288196_254228	20160517_C20	Uninflamed	0.2	DSP	2591	52	2331101	3.499376475	10.61570381	24.6179808	pass	pass	warn	warn	2309897	89.18	156437	429418	0.571235	66.01222231	1620505	18421	111612	212803	491515	20.80663795	510773	1343814	0.007974814	0.092126619	0.212786544	94.28535712	p13	single cell	FALSE
WTCHG_288196_254229	20160517_C74	Uninflamed	0.19	DSP	2029	46	2064039	3.765771868	13.75664978	20.13632615	pass	pass	warn	warn	2039374	91.13	159777	300769	0.593486	66.67976616	1459206	6609	85270	214552	422742	19.27038232	421709	1247428	0.0032407	0.105204832	0.20729008	98.19947755	p13	single cell	FALSE
WTCHG_288196_255228	20160517_C23	Uninflamed	0.19	DSP	2493	45	2013642	3.165706715	9.626506824	21.53956914	pass	pass	warn	warn	2002937	89.48	157215	349321	0.573441	65.60028347	1432968	11304	100806	256446	382869	20.3341157	444177	1180757	0.005643712	0.128034981	0.191153791	95.48945874	p13	single cell	FALSE
WTCHG_288196_255229	20160517_C77	Uninflamed	0.15	DSP	1643	47	1532360	3.614294291	11.19824831	15.06033348	pass	pass	warn	warn	1517151	93.31	78927	172529	0.726513	92.41290344	1431316	551	39426	45547	31987	22.85774977	354027	1097171	0.000363181	0.030021402	0.021083597	93.890183	p13	single cell	FALSE
WTCHG_288196_256228	20160517_C37	Uninflamed	0.14	DSP	1189	50	2084551	3.497299898	11.83389659	19.35640389	pass	pass	warn	warn	2067166	91.21	113446	301931	0.723337	85.34748198	1832180	4753	81773	114951	113073	20.43643122	438715	1491752	0.002299283	0.055608016	0.054699526	99.15843093	p13	single cell	FALSE
WTCHG_288196_256229	20160517_C79	Uninflamed	0.17	DSP	1546	54	2053728	4.077365649	10.63834832	19.46990051	pass	pass	warn	warn	2022111	91.4	113904	291089	0.69038	84.96804714	1758774	1646	72457	73843	163204	21.78524429	450938	1388873	0.000814001	0.036517778	0.080709714	99.43340265	p13	single cell	FALSE
WTCHG_288196_206208	20160519_C02	Inflamed	0.649	Fresh	4953	47	1548757	2.556760034	7.024520534	11.3929506	pass	pass	pass	warn	1547650	95.89	172575	128326	0.135475	50.08023734	849782	29993	15057	224138	577871	40.61859656	689233	253534	0.019379705	0.144824734	0.373386102	71.28809459	p14	single cell	TRUE
WTCHG_288196_207208	20160519_C04	Uninflamed	0.481	Fresh	3026	49	1737338	2.756516003	8.541642396	11.27139723	pass	pass	pass	pass	1733636	95.73	159702	143697	0.218817	50.86145751	952275	24548	21414	205985	668070	34.1553027	639487	418252	0.014159835	0.118816753	0.385357711	83.11376096	p14	single cell	TRUE
WTCHG_288196_208208	20160519_C05	Uninflamed	0.24	Fresh	2334	44	1502893	2.736455623	7.966279466	12.3138976	pass	pass	pass	pass	1499712	95.17	129212	137575	0.307133	62.82644697	1002668	22381	21415	146597	402872	36.1495752	576923	491025	0.014923532	0.097750101	0.268632911	90.92412851	p14	single cell	TRUE
WTCHG_288196_225208	20160519_C09	Uninflamed	0.34	Fresh	2225	47	1869069	2.666675227	7.417683401	10.79586985	pass	pass	pass	pass	1866084	95.57	166534	163425	0.242341	47.02353988	939417	16808	22144	195560	823830	29.14425614	582232	495045	0.009007097	0.104796997	0.441475303	91.63433707	p14	single cell	TRUE
WTCHG_288196_226208	20160519_C10	Inflamed	0.75	Fresh	3801	43	1092323	2.520042149	6.720012601	11.40244193	pass	pass	warn	warn	1091924	95.33	117799	106208	0.117395	46.77252745	556029	18473	11881	147152	455259	38.84701639	461811	153631	0.016917844	0.134763958	0.416932863	72.22021837	p14	single cell	TRUE
WTCHG_288196_227208	20160519_C11	Inflamed	0.549	Fresh	3806	47	1623767	2.701680721	8.118890515	11.34620389	pass	pass	pass	pass	1621582	96.3	176477	115900	0.18174	56.57857804	1021950	35235	16376	271115	461573	42.65458417	770448	340811	0.021728781	0.167191668	0.284643638	78.07890212	p14	single cell	TRUE
WTCHG_288196_228208	20160519_C13	Inflamed	0.319	Fresh	3283	47	1693750	2.76103321	8.947770088	15.6959257	pass	pass	pass	pass	1687285	95.23	173480	149611	0.339226	70.90625393	1318299	48431	24322	256977	211185	41.87866486	778614	622425	0.028703509	0.152302071	0.125162613	84.24640533	p14	single cell	TRUE
WTCHG_288196_229225	20160519_C14	Uninflamed	0.501	Fresh	2516	44	1245204	3.607119797	10.52442107	9.435685822	pass	pass	pass	pass	1235925	95.88	104293	96704	0.187003	44.99682322	584277	14380	17373	95725	586730	31.16092985	404620	250356	0.01163501	0.077452111	0.474729454	86.56478302	p14	single cell	TRUE
WTCHG_288196_229226	20160519_C30	Uninflamed	0.5	Fresh	2821	52	1968998	3.123923945	8.001902959	11.04961508	pass	pass	pass	pass	1962367	94.97	188720	192973	0.192275	46.37472549	972657	25450	27470	207592	864217	32.42974827	680177	426223	0.012969032	0.105786532	0.440395196	82.70041488	p14	single cell	TRUE
WTCHG_288196_229227	20160519_C75	Uninflamed	0.305	Fresh	2337	47	1763822	3.012889056	8.138258608	17.39080467	pass	pass	warn	pass	1757653	93.39	148299	213567	0.362739	58.50928771	1090406	15920	39418	164012	553890	28.86036297	537855	686079	0.009057533	0.093313071	0.315130461	91.45538906	p14	single cell	TRUE
WTCHG_288196_229228	20160519_Bulk1	Uninflamed	0.16	Fresh	8770	51	1550663	2.888119469	11.20331462	56.26554083	pass	pass	fail	fail	1528232	73.13	193886	628790	0.272119	15.50801353	327015	18744	254081	809606	699238	11.36049783	239557	803020	0.012265153	0.529766423	0.457547022	64.11519459	p14	bulk control	FALSE
WTCHG_288196_230225	20160519_C15	Uninflamed	0.253	Fresh	2068	51	1467186	3.206478252	8.859598885	12.00615802	pass	pass	pass	pass	1460209	95.59	130700	120756	0.337743	64.60100388	1011987	21464	18287	158814	355967	35.56452236	557125	524175	0.014699266	0.108761143	0.243778117	91.48362121	p14	outlier: endothelial	TRUE
WTCHG_288196_230226	20160519_C32	Uninflamed	0.247	Fresh	2056	51	1876434	2.87657333	8.06911946	23.03815075	pass	pass	fail	warn	1870684	90.41	115281	318532	0.623832	80.22955989	1563212	5158	66445	122471	191138	24.26319939	472750	1184261	0.00275728	0.065468567	0.102175461	97.84697557	p14	single cell	FALSE
WTCHG_288196_230227	20160519_C76	Uninflamed	0.304	Fresh	2854	47	2246743	2.972347082	8.729079584	15.4299134	pass	pass	pass	pass	2241905	93.95	191896	259104	0.335033	54.15739312	1288204	29442	41550	207266	812168	27.69636303	658794	807610	0.013132581	0.09245084	0.362266911	87.67167603	p14	single cell	TRUE
WTCHG_288196_231225	20160519_C17	Uninflamed	0.315	Fresh	2096	51	1283221	3.402609527	8.780907942	11.69196856	pass	pass	pass	pass	1275662	95.7	108007	105842	0.283858	59.29158705	799317	14747	14762	109145	410141	35.33445292	476348	385546	0.011560272	0.085559498	0.321512281	92.25225855	p14	single cell	TRUE
WTCHG_288196_231226	20160519_C34	Uninflamed	0.226	Fresh	1514	47	1957723	3.17220567	7.633213862	16.83365118	pass	pass	warn	warn	1947985	92.06	109021	276938	0.569035	73.57016343	1455042	2317	52489	49612	418301	20.84225546	412210	1118499	0.001189434	0.025468369	0.214735226	98.68035213	p14	single cell	FALSE
WTCHG_288196_231227	20160519_C79	Uninflamed	0.364	Fresh	2939	50	2131272	2.90901396	8.464095776	15.66333624	pass	pass	pass	pass	2126252	94.41	199115	229674	0.321104	56.71755676	1308250	30698	34573	266288	666796	31.31663202	722351	749054	0.014437611	0.125238213	0.313601586	84.1215548	p14	single cell	TRUE
WTCHG_288196_232225	20160519_C20	Inflamed	0.259	Fresh	2623	50	1422824	3.764063581	10.87190757	18.52063796	pass	pass	pass	pass	1406728	93.96	107958	146544	0.518471	75.40945745	1126471	8730	31775	130458	196372	29.65632753	443008	754377	0.006205891	0.09273861	0.139594861	96.44925631	p14	single cell	FALSE
WTCHG_288196_232226	20160519_C35	Inflamed	0.276	Fresh	1906	46	2128723	3.062399382	7.752078856	23.89256444	pass	pass	fail	warn	2116692	89.51	132950	378298	0.66663	84.6882324	1862384	4616	93364	134154	104588	25.00743484	549940	1417701	0.002180761	0.063379084	0.049411062	99.68071134	p14	single cell	FALSE
WTCHG_288196_232227	20160519_C82	Uninflamed	0.296	Fresh	4301	48	2219143	2.620516118	7.322612838	26.1316472	pass	pass	warn	warn	2214935	91.12	215103	374980	0.356715	50.56116262	1249562	22375	65834	374258	759358	24.76884438	612134	890091	0.010101877	0.168970196	0.342835343	91.01323374	p14	single cell	TRUE
WTCHG_288196_249225	20160519_C21	Uninflamed	0.238	Fresh	2607	49	1482971	3.23323922	9.36320555	18.00740959	pass	pass	pass	pass	1475115	94.04	144512	153359	0.432319	63.19574423	1029125	21423	32721	225501	319702	28.23591686	459814	690547	0.014522935	0.152870115	0.216730221	92.41647657	p14	single cell	TRUE
WTCHG_288196_249226	20160519_C37	Inflamed	0.327	Fresh	2941	52	1985055	2.848082295	7.098083061	14.05265399	pass	pass	pass	pass	1981768	94.49	217799	211613	0.26105	54.14492339	1195188	29419	28301	332914	621565	34.668094	765259	603826	0.014844825	0.167988382	0.313641657	85.86684484	p14	single cell	TRUE
WTCHG_288196_249227	20160519_C83	Inflamed	0.27	Fresh	2521	49	2185961	2.715418985	6.720600408	25.49851738	pass	pass	fail	warn	2181268	90.04	147465	397267	0.60081	76.95467858	1779343	9077	73964	199434	250378	24.95597259	577031	1357570	0.004161341	0.091430306	0.114785528	97.30219872	p14	single cell	FALSE
WTCHG_288196_250225	20160519_C22	Inflamed	0.221	Fresh	1463	49	2080022	3.662797797	10.04563021	14.01907676	pass	pass	warn	pass	2059993	94.79	209398	193066	0.511253	64.64936309	1494200	16086	36026	357063	407862	23.80404952	550168	1141937	0.007808764	0.173332142	0.197991935	99.67348188	p14	single cell	FALSE
WTCHG_288196_250226	20160519_C38	Uninflamed	0.457	Fresh	2788	48	2151580	3.007696669	7.76856786	10.77620529	pass	pass	pass	pass	2146275	95.04	204247	210922	0.234224	51.24954465	1176134	36108	28088	226039	828547	33.62715672	771715	554601	0.016823566	0.105316886	0.386039534	83.68821699	p14	single cell	TRUE
WTCHG_288196_250227	20160519_C86	Uninflamed	0.448	Fresh	3163	47	2262893	2.868452021	7.797161385	16.00019124	pass	pass	pass	pass	2258998	93.95	197479	262266	0.289784	44.55421242	1065518	23904	42594	201368	1058125	23.95094478	572789	724485	0.010581683	0.089140406	0.468404576	90.61374505	p14	single cell	TRUE
WTCHG_288196_251225	20160519_C23	Uninflamed	0.288	Fresh	3108	50	1864014	4.036933199	10.51709899	19.47891804	pass	pass	pass	pass	1838444	93.11	179848	215871	0.453814	66.39762488	1356621	31441	50896	295545	308674	29.26765523	597990	891896	0.017101962	0.160758228	0.167899593	91.61728719	p14	single cell	TRUE
WTCHG_288196_251226	20160519_C41	Uninflamed	0.3	Fresh	2038	53	2280103	3.034117318	7.910913865	14.84050449	pass	pass	warn	warn	2272854	94.24	180154	247137	0.398267	65.02420194	1553739	22510	36109	178880	598240	30.85548392	737285	954917	0.009903848	0.078702812	0.263210923	93.07344361	p14	single cell	TRUE
WTCHG_288196_251227	20160519_C87	Uninflamed	0.222	Fresh	1326	45	2106206	3.093667001	8.977312005	15.2365361	pass	pass	warn	warn	2099447	92.27	150089	286924	0.444982	53.37532655	1158686	2354	63340	112373	834074	16.09262277	349343	964150	0.001121248	0.053525047	0.397282713	99.36008184	p14	single cell	FALSE
WTCHG_288196_252225	20160519_C25	Uninflamed	0.346	Fresh	3231	47	2161530	3.300116121	8.487563192	11.94314289	pass	pass	pass	pass	2151921	96.41	244950	146102	0.294235	65.76490595	1566962	38397	20248	347523	409542	41.64270197	992209	699262	0.017843127	0.161494311	0.190314607	84.42662707	p14	single cell	TRUE
WTCHG_288196_252226	20160519_C42	Uninflamed	0.178	Fresh	793	49	2280447	3.205248796	7.695880083	20.89264227	pass	pass	fail	warn	2268770	89.45	111080	401406	0.739603	88.10290555	2040932	810	102095	75882	96813	19.52807041	452374	1659054	0.000357022	0.033446317	0.042672021	99.65617714	p14	single cell	FALSE
WTCHG_288196_252227	20160519_C90	Uninflamed	0.283	Fresh	2256	43	273141	2.737047898	13.09166584	26.86578658	pass	pass	fail	fail	272700	85.62	27306	62344	0.273243	52.1833673	164387	3915	22620	63406	60690	34.95736752	110122	89097	0.014356436	0.232511918	0.222552255	86.85726572	p14	single cell	FALSE
WTCHG_288196_253225	20160519_C26	Uninflamed	0.261	Fresh	2159	51	1490631	3.589218257	9.700481719	18.75227671	pass	pass	warn	warn	1476914	93.81	98301	160336	0.569007	78.59495117	1209772	4782	31080	90858	202757	27.13622033	417694	853896	0.003237832	0.061518816	0.137284229	98.04329538	p14	single cell	FALSE
WTCHG_288196_253226	20160519_C44	Uninflamed	0.295	Fresh	3430	48	2082889	2.859201811	7.932476054	17.14323658	pass	pass	warn	pass	2078289	93.74	221871	247078	0.326751	58.57636875	1364755	32159	37440	362547	532972	32.77796687	763685	767806	0.015473786	0.17444494	0.256447491	85.91175375	p14	single cell	TRUE
WTCHG_288196_253227	20160519_C91	Uninflamed	0.237	Fresh	2555	44	1874535	2.837397008	7.80997288	20.96852694	pass	pass	warn	pass	1869726	92.22	172892	265035	0.41116	60.12035193	1231361	17347	52578	261871	485003	27.66898094	566705	840645	0.00927783	0.14005849	0.259397901	91.45593243	p14	single cell	TRUE
WTCHG_288196_254225	20160519_C27	Uninflamed	0.299	Fresh	3233	53	1901743	3.396200223	10.52439745	19.99766697	pass	pass	pass	pass	1885960	92.7	190391	227016	0.457898	62.51539453	1317757	20241	62895	324375	382624	26.94051688	567877	944217	0.010732465	0.171994634	0.202880231	91.0288456	p14	single cell	TRUE
WTCHG_288196_254226	20160519_C45	Uninflamed	0.229	Fresh	2192	48	2298582	2.842970144	7.194860422	24.48357505	pass	pass	fail	warn	2292153	90.24	168109	403821	0.595675	78.76688931	1911481	20141	79892	212768	202475	26.61098742	645784	1402678	0.008786935	0.092824519	0.088333981	98.67259673	p14	single cell	FALSE
WTCHG_288196_254227	20160519_C94	Uninflamed	0.22	Fresh	3242	44	2407677	2.649857103	7.187333696	27.38667527	pass	pass	warn	warn	2401175	89.61	239216	455841	0.414731	50.33441371	1358251	27632	96742	440339	775490	21.91058287	591247	1131835	0.011507699	0.183384801	0.322962716	91.79160943	p14	single cell	TRUE
WTCHG_288196_255225	20160519_C28	Uninflamed	0.68	Fresh	3849	48	1559737	3.528607708	10.7119407	8.870533947	pass	pass	warn	warn	1548599	96.57	155732	103326	0.144504	44.77985151	746597	23623	17195	179950	699896	34.91001109	582041	250656	0.015254433	0.116201806	0.451954315	73.71193664	p14	single cell	TRUE
WTCHG_288196_255226	20160519_C46	Uninflamed	0.178	Fresh	1308	45	1941040	2.900249351	6.587230227	25.90536234	pass	pass	fail	fail	1933839	87.92	122581	408565	0.68127	78.71964652	1605917	2799	91438	170145	169747	19.79126941	403751	1356690	0.00144738	0.087983022	0.087777214	98.54157995	p14	single cell	FALSE
WTCHG_288196_256225	20160519_C29	Uninflamed	0.18	Fresh	1743	54	1676874	6.286995922	13.39466768	26.0967657	pass	pass	fail	warn	1602758	84.68	67450	334390	0.695099	79.23278691	1301019	842	167585	56498	116077	20.19054568	331533	1032669	0.000525344	0.035250487	0.072423285	98.29005949	p14	single cell	FALSE
WTCHG_288196_256226	20160519_C57	empty	0.187	Fresh	492	51	2032127	3.240988383	8.844547078	16.32040501	pass	pass	warn	warn	2024625	93.28	100143	249965	0.7547	95.75399095	1963990	842	36059	40129	10059	21.81715088	447487	1529305	0.000415879	0.019820461	0.004968327	100	p14	empty site control	FALSE
WTCHG_288196_229231	20160523_C30	Uninflamed	0.14	DSP	1071	48	1801357	4.042230385	9.28483621	17.71368585	pass	pass	fail	warn	1775644	91.11	95216	256902	0.667558	78.48372949	1431234	781	74596	71283	245712	19.45157013	354720	1182444	0.00043984	0.040144871	0.13837909	99.75558235	p14	single cell	FALSE
WTCHG_288196_229232	20160523_C60	empty	0.13	DSP	703	50	2081794	3.929639532	10.41832451	16.13006441	pass	pass	warn	warn	2050215	92.43	94426	258353	0.759832	92.01110259	1904766	245	66400	33636	65101	19.62651946	406298	1532477	0.0001195	0.016406084	0.031753255	99.52028813	p14	empty site control	FALSE
WTCHG_288196_230231	20160523_C32	Inflamed	0.15	DSP	1277	47	2195215	3.689433609	10.05678372	20.50646017	pass	pass	fail	fail	2169292	89.11	102060	371684	0.684983	79.46673509	1765282	356	123650	80591	251531	19.59899343	435374	1464448	0.000164109	0.037150831	0.115950734	98.51937142	p14	single cell	FALSE
WTCHG_288196_230232	20160523_C72	Uninflamed	0.15	DSP	1289	49	2316461	3.220818309	8.979794788	18.9005198	pass	pass	warn	warn	2297995	90.47	147138	352663	0.571133	67.93597943	1624549	5602	110809	142146	508188	19.58701021	468383	1324011	0.002437777	0.061856531	0.221144084	99.90348647	p14	single cell	FALSE
WTCHG_288196_231230	20160523_C01	Uninflamed	0.14	DSP	1328	52	2449026	3.538386281	8.888638904	25.28613051	pass	pass	fail	fail	2421098	86.54	132868	499759	0.686523	79.34297842	1992180	9671	184460	142817	181718	21.9361522	550783	1618736	0.003994469	0.058988525	0.075056028	99.94047778	p14	single cell	FALSE
WTCHG_288196_231231	20160523_C33	Inflamed	0.15	DSP	1394	51	2321935	3.616294168	9.258038734	20.63154114	pass	pass	fail	warn	2293944	89.81	114964	376049	0.738005	86.47751471	2024417	2033	113191	74503	126831	19.72703681	461805	1665020	0.000886247	0.032478125	0.055289493	99.91234098	p14	single cell	FALSE
WTCHG_288196_231232	20160523_C74	Inflamed	0.16	DSP	877	49	2621422	3.575540298	9.28847892	17.60721817	pass	pass	fail	warn	2596668	91.91	131301	350102	0.748314	87.90791195	2324163	651	90953	76126	151968	18.42884327	487233	1926458	0.000250706	0.029316801	0.058524232	99.96824058	p14	single cell	FALSE
WTCHG_288196_232228	20160523_Bulk1	Uninflamed	0.15	DSP	4313	53	1407637	3.823926197	10.10191827	27.57520609	pass	pass	fail	fail	1383598	80.22	124300	374265	0.16704	5.794011387	90899	2366	197904	274553	1003122	4.568395583	71671	346105	0.001710034	0.198434083	0.725009721	89.38155226	p14	bulk control	FALSE
WTCHG_288196_232230	20160523_C02	Inflamed	0.14	DSP	783	49	1817127	3.587971562	8.723596058	24.13684186	pass	pass	fail	fail	1795094	88.21	99190	332217	0.667911	83.15982735	1546352	4684	111788	101773	94897	24.78330126	460844	1190133	0.002609334	0.056695081	0.052864641	99.98886639	p14	single cell	FALSE
